이름,고유번호,관심사,나이,성별,혜택,교통비,교통횟수,교통총비용,편의점비,편의점횟수,편의점총비용,배달비,배달횟수,배달총비용,카페비,카페횟수,카페총비용,ott비,ott횟수,ott총비용,영화비,영화횟수,영화총비용,쇼핑비,쇼핑횟수,쇼핑총비용,도서비,도서횟수,도서총비용,뷰티비,뷰티횟수,뷰티총비용,야구비,야구횟수,야구총비용,놀이공원/공연비,놀이공원/공연횟수,놀이공원/공연총비용,통신비,통신횟수,통신총비용,card
이지혜,a00012,도서,13,남,뷰티,500,69,34500,37500,6,225000,23700,10,237000,18300,2,36600,3200,3,9600,15500,1,15500,18400,1,18400,29900,4,119600,15900,4,63600,10200,1,10200,45000,1,45000,11400,1,11400,5
김준서,a00013,영화관람,15,여,대중교통,500,26,13000,10500,3,31500,14700,3,44100,5600,18,100800,3100,1,3100,14400,3,43200,33400,4,133600,18700,1,18700,42100,1,42100,9700,1,9700,26500,2,53000,13800,1,13800,7
나성수,a00014,스포츠,12,남,도서,400,60,24000,18900,18,340200,14600,9,131400,6000,5,30000,4700,5,23500,15200,3,45600,45900,0,0,20400,4,81600,22100,0,0,11500,2,23000,39200,0,0,24200,1,24200,4
노재현,a00015,뷰티,18,여,영화관람,300,9,2700,35500,6,213000,10200,4,40800,6000,20,120000,4500,6,27000,23000,3,69000,27100,0,0,28500,2,57000,38000,3,114000,24500,2,49000,30500,2,61000,31900,1,31900,7
강채원,a00016,뷰티,8,남,도서,600,14,8400,36200,15,543000,10600,3,31800,17300,8,138400,3500,4,14000,24200,1,24200,19700,1,19700,20000,3,60000,30400,2,60800,12300,0,0,33100,2,66200,31700,1,31700,1
안승현,a00017,게임,18,남,편의점,600,13,7800,42900,21,900900,19000,9,171000,16600,15,249000,2600,1,2600,13300,0,0,15100,3,45300,24200,2,48400,44600,0,0,21300,2,42600,32700,2,65400,39000,1,39000,6
안미정,a00018,게임,17,여,도서,700,64,44800,20600,19,391400,17900,5,89500,11600,4,46400,3000,6,18000,18200,3,54600,30600,1,30600,22600,5,113000,41700,5,208500,16900,0,0,24800,2,49600,18500,1,18500,7
김성수,a00019,여행,8,여,야구,300,5,1500,26300,16,420800,29700,4,118800,9500,8,76000,4200,5,21000,15800,2,31600,36800,5,184000,20700,5,103500,42500,5,212500,8700,1,8700,34800,0,0,54800,1,54800,7
윤명숙,a00020,게임,13,여,넷플릭스,600,12,7200,38600,10,386000,10600,8,84800,9400,20,188000,3200,4,12800,22600,1,22600,16900,1,16900,20800,2,41600,45500,2,91000,15000,0,0,36400,2,72800,25600,1,25600,0
김지영,a00021,도서,18,여,대중교통,400,38,15200,37200,3,111600,26200,4,104800,11800,6,70800,4900,5,24500,20700,3,62100,24900,0,0,19000,0,0,40300,2,80600,10500,0,0,29500,1,29500,65500,1,65500,3
허은지,a00022,영화관람,8,남,뷰티,300,66,19800,20300,9,182700,19500,7,136500,16500,15,247500,2600,4,10400,18200,3,54600,25200,1,25200,29000,2,58000,12600,2,25200,16700,0,0,28700,1,28700,61200,1,61200,2
김병철,a00023,뷰티,17,남,놀이동산,400,45,18000,39400,17,669800,22900,5,114500,11700,3,35100,3400,4,13600,19000,2,38000,31500,5,157500,22000,0,0,20600,2,41200,21400,2,42800,40000,2,80000,46100,1,46100,4
김시우,a00024,도서,9,여,놀이동산,400,6,2400,42200,29,1223800,12100,7,84700,15300,4,61200,3600,5,18000,17600,3,52800,16600,5,83000,28700,2,57400,11100,2,22200,24400,0,0,36200,0,0,74800,1,74800,4
신미경,a00025,뷰티,19,남,넷플릭스,500,58,29000,4400,15,66000,24700,3,74100,8000,20,160000,3200,4,12800,19200,0,0,36400,4,145600,25300,1,25300,34500,3,103500,20500,0,0,27600,2,55200,14700,1,14700,6
김예진,a00026,여행,12,여,놀이동산,700,14,9800,35500,17,603500,20400,2,40800,14800,3,44400,2600,2,5200,14800,1,14800,24300,1,24300,22000,4,88000,20500,2,41000,15600,0,0,48500,0,0,72700,1,72700,7
김민석,a00027,패션,11,남,영화관람,500,13,6500,24100,18,433800,21300,3,63900,17200,17,292400,3600,3,10800,15000,2,30000,18700,5,93500,26300,1,26300,27900,3,83700,22800,1,22800,38400,1,38400,70400,1,70400,7
강우진,a00028,카페,15,남,배달,600,57,34200,35600,2,71200,12400,3,37200,5500,10,55000,2800,3,8400,17400,3,52200,11900,3,35700,21400,2,42800,19100,3,57300,13400,2,26800,37000,2,74000,65100,1,65100,1
성지우,a00029,여행,16,남,통신비,500,68,34000,8400,23,193200,14700,10,147000,17600,14,246400,3200,4,12800,19600,1,19600,20400,5,102000,22100,3,66300,10100,0,0,21500,2,43000,20100,0,0,18900,1,18900,7
이명자,a00030,도서,11,여,뷰티,600,56,33600,11200,4,44800,14700,6,88200,13700,12,164400,3800,4,15200,17000,2,34000,27400,2,54800,29100,4,116400,20900,0,0,14800,1,14800,25200,1,25200,26200,1,26200,4
안춘자,a00031,쇼핑,17,남,편의점,700,15,10500,11000,10,110000,24400,8,195200,18300,17,311100,3300,0,0,13300,2,26600,39500,2,79000,22900,4,91600,23900,2,47800,19000,1,19000,41300,0,0,62700,1,62700,4
이유진,a00032,영화관람,19,남,편의점,300,24,7200,27000,15,405000,23400,2,46800,15200,19,288800,4600,0,0,20000,0,0,40700,3,122100,27900,5,139500,17200,4,68800,20100,1,20100,33300,2,66600,74300,1,74300,2
이아름,a00033,게임,19,남,야구,400,15,6000,23000,25,575000,24300,2,48600,17200,11,189200,4500,5,22500,21500,2,43000,42900,4,171600,28600,3,85800,31000,1,31000,14000,1,14000,48300,0,0,53600,1,53600,0
이서연,a00034,게임,15,남,카페,300,5,1500,16500,17,280500,13400,10,134000,9000,5,45000,4800,2,9600,20900,0,0,20400,1,20400,24300,0,0,43700,4,174800,15400,1,15400,33600,2,67200,71400,1,71400,5
이민지,a00035,도서,16,남,쇼핑,600,41,24600,9200,19,174800,11900,3,35700,14300,19,271700,2600,4,10400,20700,3,62100,24400,0,0,24600,3,73800,44200,5,221000,18000,2,36000,21300,0,0,45300,1,45300,0
이하윤,a00036,여행,16,남,통신비,500,15,7500,46000,23,1058000,18500,9,166500,14500,13,188500,3100,5,15500,20400,2,40800,18000,0,0,25400,5,127000,14700,2,29400,18000,2,36000,39000,2,78000,12600,1,12600,5
김정수,a00037,쇼핑,12,여,통신비,600,15,9000,7000,12,84000,15500,4,62000,8200,15,123000,2600,2,5200,23900,0,0,47800,3,143400,23600,3,70800,38200,5,191000,10500,2,21000,35500,1,35500,59200,1,59200,0
오성호,a00038,영화관람,14,여,대중교통,400,28,11200,39900,30,1197000,18800,10,188000,12000,20,240000,3300,0,0,21700,2,43400,40000,0,0,18700,3,56100,12600,3,37800,21300,1,21300,28300,1,28300,73300,1,73300,0
김승민,a00039,패션,12,여,도서,600,69,41400,28900,20,578000,17300,3,51900,14800,16,236800,4800,2,9600,16600,2,33200,45200,1,45200,21900,2,43800,27800,4,111200,20900,1,20900,49900,0,0,57400,1,57400,7
노예지,a00040,여행,10,여,통신비,600,68,40800,49800,30,1494000,21800,8,174400,5300,7,37100,4100,5,20500,20000,0,0,16100,4,64400,22800,1,22800,10900,0,0,9400,1,9400,26300,2,52600,51900,1,51900,6
최우진,a00041,패션,11,남,뷰티,300,23,6900,4100,4,16400,26000,2,52000,19500,14,273000,4300,6,25800,16000,0,0,10900,4,43600,20300,2,40600,32300,4,129200,19000,2,38000,49000,2,98000,38300,1,38300,3
이지원,a00042,영화관람,16,남,배달,600,20,12000,41500,20,830000,22600,7,158200,17900,10,179000,3700,2,7400,18000,3,54000,43600,0,0,18000,0,0,18400,2,36800,8800,1,8800,37900,2,75800,40800,1,40800,6
김영일,a00043,스포츠,12,남,카페,300,55,16500,11800,15,177000,21600,6,129600,19400,17,329800,4400,0,0,19700,2,39400,13700,2,27400,21400,4,85600,20100,0,0,20500,0,0,33600,2,67200,21300,1,21300,0
이정숙,a00044,쇼핑,9,남,뷰티,600,26,15600,37800,17,642600,17800,10,178000,15000,14,210000,4200,2,8400,21900,3,65700,10000,3,30000,26900,0,0,42600,4,170400,10200,0,0,34100,0,0,58300,1,58300,0
김영환,a00045,카페,9,남,야구,600,60,36000,35000,9,315000,25500,9,229500,14300,12,171600,2700,0,0,15600,2,31200,34100,2,68200,22900,4,91600,30600,5,153000,13500,0,0,35600,1,35600,50300,1,50300,0
최미정,a00046,영화관람,11,남,야구,500,67,33500,26900,28,753200,15200,6,91200,16700,17,283900,4900,6,29400,16300,3,48900,21500,0,0,22300,0,0,13300,5,66500,17800,0,0,35100,1,35100,31400,1,31400,7
최건우,a00047,카페,10,여,쇼핑,400,63,25200,2500,10,25000,14300,3,42900,11800,12,141600,4700,2,9400,24300,2,48600,17300,3,51900,27400,4,109600,35200,5,176000,15500,2,31000,27700,2,55400,36800,1,36800,4
문성현,a00048,쇼핑,12,남,배달,400,69,27600,46100,24,1106400,23600,10,236000,18000,7,126000,3800,1,3800,22800,2,45600,42000,0,0,23900,2,47800,19900,4,79600,11800,2,23600,27500,2,55000,40500,1,40500,3
하현정,a00049,뷰티,16,남,뷰티,600,59,35400,25400,8,203200,23900,2,47800,19500,7,136500,3500,3,10500,23000,3,69000,43800,5,219000,22100,5,110500,49300,5,246500,11200,1,11200,20000,1,20000,53600,1,53600,5
구준혁,a00050,도서,10,여,넷플릭스,600,37,22200,2200,2,4400,11100,8,88800,17200,14,240800,4700,0,0,22400,2,44800,45300,5,226500,29800,4,119200,34800,4,139200,22800,0,0,27700,1,27700,64400,1,64400,1
김정희,a00051,여행,17,남,도서,300,13,3900,36200,30,1086000,26900,9,242100,14600,11,160600,4700,3,14100,13600,1,13600,38100,4,152400,22100,0,0,43000,5,215000,23800,2,47600,30500,2,61000,38400,1,38400,7
김서연,a00052,뷰티,9,여,뷰티,600,43,25800,19100,17,324700,18500,2,37000,6700,4,26800,3200,6,19200,20200,0,0,15300,4,61200,29200,3,87600,15400,5,77000,10200,2,20400,23800,1,23800,44400,1,44400,3
이옥자,a00053,도서,15,여,통신비,300,66,19800,34400,18,619200,22900,10,229000,7800,19,148200,4100,1,4100,14400,1,14400,49300,0,0,29400,4,117600,48900,5,244500,24300,1,24300,45400,0,0,66400,1,66400,6
김주원,a00054,도서,17,여,뷰티,300,16,4800,16700,14,233800,29300,8,234400,16900,2,33800,2600,2,5200,14800,3,44400,28800,5,144000,29400,4,117600,12900,0,0,18000,1,18000,40100,1,40100,35400,1,35400,2
안은경,a00055,카페,14,남,뷰티,500,14,7000,8800,20,176000,18500,3,55500,12700,3,38100,4200,3,12600,22500,2,45000,40900,3,122700,24600,2,49200,10300,4,41200,15500,1,15500,38800,2,77600,36000,1,36000,4
이영호,a00056,게임,14,남,뷰티,400,25,10000,30800,3,92400,13900,9,125100,7200,11,79200,4200,3,12600,18700,1,18700,22400,1,22400,20400,2,40800,15000,2,30000,15900,0,0,23400,0,0,25500,1,25500,7
조서현,a00057,도서,18,남,도서,300,69,20700,29900,13,388700,19500,10,195000,11400,12,136800,4700,0,0,18600,0,0,24900,5,124500,24800,3,74400,45200,2,90400,15100,1,15100,24600,0,0,35000,1,35000,5
한중수,a00058,카페,11,여,편의점,400,63,25200,25800,18,464400,12800,3,38400,5300,2,10600,4000,5,20000,21500,2,43000,22500,0,0,24000,5,120000,13300,3,39900,12600,1,12600,46200,2,92400,22500,1,22500,2
김수빈,a00059,영화관람,15,남,대중교통,400,22,8800,17100,26,444600,22700,9,204300,5200,9,46800,3000,6,18000,20600,3,61800,49700,4,198800,28900,0,0,30400,5,152000,22200,0,0,37000,0,0,26700,1,26700,7
김재현,a00060,쇼핑,15,남,놀이동산,700,39,27300,32000,23,736000,21500,8,172000,19100,16,305600,2800,3,8400,18300,1,18300,28300,3,84900,28600,5,143000,28100,5,140500,8200,0,0,27800,0,0,50500,1,50500,3
손영희,a00061,게임,9,남,카페,400,55,22000,46700,8,373600,15300,4,61200,6500,3,19500,2900,2,5800,17600,3,52800,41500,4,166000,26100,1,26100,41400,4,165600,22700,1,22700,23200,1,23200,59800,1,59800,7
박은경,a00062,영화관람,10,여,놀이동산,300,19,5700,21100,17,358700,12500,4,50000,7000,2,14000,3000,1,3000,16000,1,16000,35500,2,71000,21200,4,84800,31000,2,62000,17600,2,35200,45600,2,91200,56100,1,56100,3
이지원,a00063,영화관람,14,여,영화관람,400,45,18000,39900,15,598500,23800,4,95200,19600,2,39200,3500,0,0,17200,1,17200,11300,1,11300,19000,1,19000,43300,3,129900,8800,1,8800,39600,1,39600,45000,1,45000,5
김서영,a00064,영화관람,14,여,도서,400,62,24800,34100,5,170500,27100,7,189700,18300,6,109800,4800,2,9600,15400,1,15400,13800,4,55200,29600,2,59200,16700,4,66800,23200,0,0,47600,0,0,48200,1,48200,0
김지현,a00065,카페,11,여,쇼핑,700,7,4900,17300,8,138400,24900,2,49800,6400,7,44800,2700,1,2700,18800,3,56400,17400,2,34800,20400,3,61200,12000,2,24000,18500,0,0,41200,1,41200,57900,1,57900,1
황경자,a00066,스포츠,19,여,대중교통,600,9,5400,19500,23,448500,21100,10,211000,17500,14,245000,3400,5,17000,23200,3,69600,35500,0,0,18100,5,90500,22600,0,0,10900,1,10900,22200,1,22200,55900,1,55900,5
오상호,a00067,여행,10,남,대중교통,500,46,23000,10800,30,324000,11300,8,90400,14400,11,158400,2700,1,2700,24200,2,48400,23000,0,0,24500,5,122500,19500,0,0,10200,0,0,20000,2,40000,52800,1,52800,1
차영숙,a00068,쇼핑,16,여,통신비,600,56,33600,20700,8,165600,15900,7,111300,18000,3,54000,4700,2,9400,15500,2,31000,18300,5,91500,19600,5,98000,15600,5,78000,8600,0,0,44500,1,44500,66200,1,66200,5
김민준,a00069,카페,12,여,대중교통,600,7,4200,33500,23,770500,19200,7,134400,11100,4,44400,4000,2,8000,24300,1,24300,16100,1,16100,18800,2,37600,10500,2,21000,20600,2,41200,47800,2,95600,58600,1,58600,7
박상호,a00070,게임,16,남,뷰티,400,19,7600,9600,12,115200,12100,9,108900,7400,18,133200,4700,3,14100,19000,3,57000,11500,2,23000,19200,1,19200,34500,0,0,16800,2,33600,34100,2,68200,30300,1,30300,6
김정순,a00071,쇼핑,14,남,편의점,600,45,27000,47800,4,191200,21400,6,128400,8900,12,106800,4400,2,8800,16800,2,33600,18500,0,0,27700,3,83100,37600,4,150400,8300,1,8300,32500,2,65000,29900,1,29900,1
한경자,a00072,카페,18,여,도서,300,59,17700,13000,16,208000,13000,7,91000,4900,13,63700,4400,5,22000,23800,3,71400,22200,0,0,26000,5,130000,22000,0,0,10000,1,10000,45400,0,0,42200,1,42200,0
김주원,a00073,쇼핑,15,남,놀이동산,400,34,13600,20400,4,81600,28700,3,86100,5100,6,30600,4900,2,9800,13100,2,26200,34400,3,103200,28600,1,28600,27900,2,55800,12000,2,24000,26800,2,53600,40600,1,40600,2
김영길,a00074,게임,15,남,배달,400,34,13600,7000,3,21000,21600,2,43200,11500,18,207000,3900,1,3900,24300,3,72900,11900,3,35700,19000,3,57000,34500,2,69000,20100,1,20100,20800,0,0,20900,1,20900,1
김상훈,a00075,여행,17,여,놀이동산,400,19,7600,33100,23,761300,15000,3,45000,9900,9,89100,3500,5,17500,21200,3,63600,46100,2,92200,25200,4,100800,10800,4,43200,9200,1,9200,43500,2,87000,36500,1,36500,5
이영수,a00076,여행,10,여,놀이동산,500,68,34000,13000,14,182000,29000,6,174000,13800,18,248400,2900,5,14500,23300,1,23300,26800,0,0,19100,2,38200,21100,2,42200,17900,0,0,46900,1,46900,23100,1,23100,7
박상철,a00077,뷰티,19,여,영화관람,300,46,13800,28200,10,282000,29900,7,209300,10900,19,207100,3900,4,15600,14700,3,44100,12000,3,36000,18200,3,54600,49200,1,49200,21900,0,0,24300,0,0,14800,1,14800,5
김상호,a00078,여행,14,여,통신비,700,63,44100,32200,24,772800,13200,4,52800,11800,3,35400,4600,4,18400,15800,1,15800,12000,0,0,21700,3,65100,28500,0,0,22200,1,22200,41000,0,0,28400,1,28400,4
이지현,a00079,스포츠,17,여,놀이동산,300,13,3900,28800,30,864000,16200,2,32400,19800,2,39600,2500,3,7500,14900,2,29800,26700,4,106800,27700,5,138500,17300,2,34600,11300,2,22600,49800,2,99600,64500,1,64500,0
남영철,a00080,스포츠,10,남,도서,300,57,17100,14000,25,350000,10800,6,64800,11200,13,145600,2800,2,5600,17900,2,35800,26800,4,107200,20300,4,81200,32900,3,98700,17000,0,0,49500,2,99000,48400,1,48400,5
최지혜,a00081,쇼핑,9,여,도서,300,27,8100,7000,24,168000,27000,8,216000,8700,12,104400,2700,5,13500,21400,0,0,14600,1,14600,22200,2,44400,20200,2,40400,21800,2,43600,43200,0,0,24200,1,24200,4
이혜진,a00082,영화관람,8,남,대중교통,300,6,1800,37000,8,296000,24400,9,219600,19300,14,270200,4400,3,13200,24400,0,0,19300,2,38600,22700,4,90800,34000,2,68000,20700,0,0,33200,0,0,67800,1,67800,3
윤은지,a00083,쇼핑,18,여,카페,500,5,2500,19200,11,211200,14800,6,88800,8000,5,40000,4000,1,4000,19500,1,19500,35600,1,35600,25100,2,50200,46800,1,46800,15900,2,31800,46600,1,46600,16200,1,16200,7
이현숙,a00084,게임,19,여,도서,400,67,26800,20300,2,40600,16800,7,117600,13900,20,278000,2800,3,8400,17200,2,34400,18100,2,36200,20200,2,40400,48300,4,193200,18900,2,37800,36900,2,73800,21600,1,21600,5
강수빈,a00085,도서,14,여,영화관람,600,12,7200,38300,27,1034100,17000,2,34000,14300,12,171600,4700,6,28200,15200,2,30400,47100,5,235500,19300,3,57900,22800,2,45600,8300,2,16600,46200,0,0,29300,1,29300,6
최미정,a00086,도서,14,남,영화관람,300,12,3600,17700,22,389400,23900,4,95600,9500,5,47500,3500,3,10500,21600,1,21600,24400,2,48800,19000,4,76000,33700,4,134800,18400,0,0,39600,1,39600,35300,1,35300,7
이도윤,a00087,뷰티,9,여,쇼핑,500,26,13000,33200,25,830000,14600,10,146000,9500,2,19000,3900,0,0,14900,0,0,33500,4,134000,24600,1,24600,31600,4,126400,18700,0,0,27300,1,27300,10500,1,10500,4
하채원,a00088,게임,15,여,도서,400,45,18000,9900,10,99000,10700,3,32100,18100,15,271500,2700,0,0,17100,0,0,44600,1,44600,18500,0,0,11800,5,59000,19500,2,39000,27900,2,55800,65500,1,65500,2
박종수,a00089,게임,12,여,넷플릭스,600,9,5400,17500,14,245000,23800,9,214200,13500,7,94500,4200,3,12600,14600,3,43800,21000,5,105000,29700,3,89100,20700,4,82800,16000,1,16000,28800,0,0,12900,1,12900,6
문재현,a00090,스포츠,9,남,카페,600,33,19800,42300,13,549900,12300,5,61500,10200,9,91800,2500,6,15000,14700,3,44100,23200,5,116000,20200,0,0,12800,1,12800,13900,2,27800,31100,1,31100,63600,1,63600,5
이예은,a00091,카페,12,남,뷰티,300,31,9300,6700,6,40200,11300,3,33900,12500,19,237500,3800,4,15200,22900,1,22900,10800,2,21600,29500,2,59000,36400,1,36400,13100,2,26200,46000,0,0,31900,1,31900,2
이유진,a00092,스포츠,9,여,배달,600,6,3600,24600,11,270600,18900,8,151200,12400,14,173600,2800,1,2800,15000,3,45000,28200,4,112800,27900,3,83700,16000,1,16000,13400,0,0,40700,0,0,18500,1,18500,2
서지민,a00093,게임,12,여,놀이동산,400,19,7600,20300,26,527800,18400,4,73600,10900,10,109000,4900,3,14700,15300,0,0,10300,5,51500,27000,0,0,22700,5,113500,11600,2,23200,33500,2,67000,14300,1,14300,0
한경희,a00094,패션,16,남,카페,700,40,28000,33000,25,825000,27100,4,108400,5700,19,108300,3100,5,15500,22700,2,45400,13800,2,27600,28900,4,115600,26200,3,78600,15600,1,15600,41700,0,0,11800,1,11800,7
김민재,a00095,게임,11,남,넷플릭스,400,8,3200,31700,20,634000,24600,8,196800,18400,12,220800,2600,2,5200,18900,1,18900,25100,1,25100,21000,2,42000,15900,5,79500,22200,0,0,23500,2,47000,24900,1,24900,3
성정수,a00096,카페,12,남,놀이동산,500,43,21500,3700,23,85100,21600,3,64800,11600,12,139200,4200,5,21000,14500,1,14500,21600,4,86400,28300,5,141500,33000,1,33000,22200,2,44400,26100,1,26100,50500,1,50500,6
안윤서,a00097,쇼핑,13,남,대중교통,400,35,14000,7800,4,31200,20800,7,145600,12500,18,225000,3400,0,0,22800,2,45600,34400,4,137600,23900,4,95600,25100,4,100400,17900,0,0,37000,0,0,54000,1,54000,0
최영식,a00098,패션,11,여,야구,700,36,25200,30600,14,428400,19400,4,77600,18400,13,239200,2900,6,17400,20800,2,41600,19100,4,76400,29100,3,87300,45500,2,91000,12200,0,0,26100,2,52200,65500,1,65500,4
김민준,a00099,여행,14,여,넷플릭스,300,13,3900,20600,27,556200,27200,8,217600,9400,5,47000,3400,5,17000,24800,3,74400,47600,1,47600,28600,3,85800,48700,5,243500,9900,0,0,39200,0,0,37400,1,37400,7
김재호,a00100,쇼핑,19,남,대중교통,300,61,18300,32300,10,323000,15500,10,155000,7400,2,14800,4300,2,8600,17500,3,52500,17800,3,53400,18000,4,72000,32500,0,0,13100,0,0,31900,2,63800,58800,1,58800,3
박민서,a00101,카페,16,여,편의점,700,46,32200,8600,15,129000,26600,9,239400,4600,20,92000,2900,1,2900,20100,1,20100,38800,3,116400,28600,4,114400,43600,0,0,23600,0,0,24000,1,24000,61600,1,61600,5
이명숙,a00102,뷰티,16,여,편의점,300,48,14400,36300,15,544500,15400,9,138600,18700,11,205700,4100,3,12300,24300,0,0,44500,4,178000,29600,2,59200,14000,5,70000,20600,0,0,48700,1,48700,69000,1,69000,3
강지민,a00103,카페,18,여,카페,700,28,19600,40600,8,324800,27100,9,243900,10300,6,61800,2800,3,8400,14200,0,0,32400,5,162000,26200,0,0,35500,0,0,13400,1,13400,46700,0,0,28700,1,28700,3
김민지,a00104,게임,12,남,배달,500,64,32000,19900,16,318400,15400,7,107800,7300,20,146000,2900,1,2900,13200,2,26400,25500,1,25500,28000,3,84000,30500,2,61000,24700,2,49400,26600,0,0,33700,1,33700,7
황서윤,a00105,게임,18,남,넷플릭스,400,64,25600,31100,4,124400,14700,7,102900,10200,12,122400,2800,5,14000,21900,0,0,16900,0,0,21600,1,21600,19500,1,19500,9500,1,9500,28000,0,0,27500,1,27500,7
강진우,a00106,스포츠,11,남,대중교통,500,8,4000,36300,22,798600,25700,2,51400,13300,19,252700,4300,6,25800,16800,0,0,16700,5,83500,25600,5,128000,40400,1,40400,13900,2,27800,24200,2,48400,27000,1,27000,2
박도현,a00107,스포츠,11,여,넷플릭스,400,58,23200,39900,28,1117200,20800,10,208000,4800,13,62400,3900,5,19500,19100,0,0,13400,2,26800,19600,0,0,40900,2,81800,24500,0,0,33300,0,0,14000,1,14000,4
주재호,a00108,도서,15,여,야구,300,69,20700,3600,13,46800,17000,9,153000,14800,13,192400,3400,4,13600,22400,0,0,11200,3,33600,20800,4,83200,21200,5,106000,20300,0,0,24000,1,24000,64700,1,64700,0
김정식,a00109,뷰티,14,남,도서,400,18,7200,5500,3,16500,24700,3,74100,13500,8,108000,4800,2,9600,22000,1,22000,36200,5,181000,27600,1,27600,36700,0,0,19100,0,0,31800,2,63600,74700,1,74700,6
전성진,a00110,영화관람,18,남,쇼핑,600,48,28800,9600,5,48000,19900,5,99500,13800,6,82800,2800,1,2800,19500,3,58500,37300,2,74600,25600,4,102400,29800,2,59600,8500,0,0,39400,2,78800,12900,1,12900,7
한정식,a00111,스포츠,12,남,넷플릭스,600,59,35400,19000,29,551000,10700,2,21400,12200,6,73200,3700,0,0,18200,0,0,32300,1,32300,20900,3,62700,19400,5,97000,17600,1,17600,49700,2,99400,22000,1,22000,3
이경희,a00112,카페,13,남,쇼핑,500,63,31500,39500,3,118500,22600,7,158200,13900,12,166800,3500,6,21000,19000,2,38000,48700,5,243500,23700,5,118500,26500,0,0,24900,0,0,28900,1,28900,51200,1,51200,3
이서연,a00113,패션,8,남,야구,300,14,4200,43600,7,305200,10600,9,95400,8900,20,178000,4700,5,23500,13800,0,0,47400,3,142200,23100,2,46200,25400,4,101600,13600,1,13600,47200,1,47200,61100,1,61100,5
류지은,a00114,카페,16,남,놀이동산,400,68,27200,41500,14,581000,10300,6,61800,8600,17,146200,2500,5,12500,16100,0,0,37300,4,149200,21900,0,0,29200,3,87600,12300,2,24600,33600,0,0,20600,1,20600,7
이순자,a00115,스포츠,8,여,영화관람,400,68,27200,3000,27,81000,20300,7,142100,17300,16,276800,3500,1,3500,13200,3,39600,49400,1,49400,24900,0,0,40400,2,80800,10800,1,10800,33300,0,0,35500,1,35500,5
심순자,a00116,패션,13,남,편의점,600,70,42000,41200,10,412000,21400,3,64200,6000,9,54000,3900,1,3900,22900,2,45800,30500,0,0,20700,0,0,23300,4,93200,22600,2,45200,38200,1,38200,55700,1,55700,1
